Variacoes - ABRIL - JUNHO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 PEIXE-CORVINA,7.52,0.0,0.0,-0.5700000000000001,0.0,0.0,0.0,0.0,3.4699999999999998,0.0,0.0,0.0,0.0,3.03
 PEIXE-CAVALINHA,0.0,0.0,0.0,-5.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.84
 PEIXE,0.0,1.1799999999999997,4.25,0.0,0.0,-1.0299999999999998,0.0,0.0,0.0,0.08000000000000002,4.590000000000001,0.0,0.0,1.7699999999999998
 PEIXE-SARDINHA,0.0,0.0,0.0,9.05,9.21,0.0,0.0,0.0,-1.88,0.0,0.0,0.0,0.6800000000000006,6.13
 CAMARÃO,8.07,0.0,0.0,-3.3500000000000005,0.0,0.0,-14.39,0.0,-26.61,0.0,0.0,-5.25,-7.9,-8.9
 PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.28,0.0,0.0,0.0,0.0,-10.28
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7800000000000002,1.3200000000000003,0.0,0.0,0.0,0.0,-0.8599999999999994
 PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.21,11.21
 PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.36,0.0,-16.36
 PEIXE-CAÇÃO,0.79,0.0,0.0,0.0,4.51,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,0.0,2.6399999999999997
 PEIXE-MERLUZA,-8.4,0.0,0.0,-1.3499999999999992,-6.000000000000001,0.0,0.0,0.0,13.280000000000001,0.0,0.0,0.0,4.85,-4.119999999999999
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,-4.58,-2.65,0.0,0.0,0.0,0.0,0.0,-3.8699999999999997
 PEIXE-PESCADA,-4.29,0.0,0.0,1.9099999999999993,6.63,0.0,-9.33,0.0,1.0900000000000003,0.0,0.0,9.969999999999999,0.0,-3.4400000000000004
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.4400000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.4400000000000004
 PEIXE-CASTANHA,0.0,0.0,0.0,-0.7700000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7700000000000005
 PEIXE-SALMÃO,0.0,0.0,0.0,0.0,8.719999999999999,0.0,0.0,-4.63,0.0,0.0,0.0,0.0,1.6,5.830000000000001
 PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9799999999999995,0.0,0.0,0.0,0.0,0.0,-4.9799999999999995
 PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,-8.52,0.0,0.0,0.0,0.0,0.0,0.0,-8.52
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-6.770000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-6.770000000000001
