Variacoes - OUTUBRO - DEZEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 ENCARGOS E MANUTENÇÃO,0.36,0.25,0.16,0.060000000000000026,2.24,0.37,0.7,1.52,0.37,0.49,0.21,-0.14,-0.09999999999999999,0.94
 ALUGUEL E TAXAS,0.12000000000000002,-0.21000000000000002,-0.010000000000000002,-0.01999999999999999,2.56,0.29,3.0,1.73,0.19,0.51,-0.01999999999999999,-0.33,-0.42,0.99
 ALUGUEL RESIDENCIAL,-1.3199999999999998,-0.1,-0.5,-0.53,1.5499999999999998,0.009999999999999995,2.91,0.7400000000000001,0.13999999999999999,-0.07,-0.44999999999999996,-0.96,-1.04,0.32
 CONDOMÍNIO,0.26,-0.75,1.6800000000000002,0.81,0.9400000000000001,1.2200000000000002,1.4,2.26,0.44999999999999996,2.9299999999999997,1.19,0.49,1.15,0.84
 TAXA DE ÁGUA E ESGOTO,5.26,0.0,0.0,0.0,7.83,0.0,4.94,3.72,0.0,0.0,0.0,0.0,0.0,2.6399999999999997
 MUDANÇA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34,1.0299999999999998,0.0,2.54,3.1600000000000006
 REPAROS,1.04,1.06,0.72,2.13,1.4900000000000002,1.4,0.33999999999999997,1.52,0.98,1.1800000000000002,1.53,0.44,0.7800000000000001,1.1600000000000001
 FERRAGENS,0.0,0.0,1.42,0.0,-1.41,0.0,0.0,1.71,0.0,1.7300000000000004,4.48,0.52,0.0,0.38000000000000006
 MATERIAL DE ELETRICIDADE,0.0,0.1599999999999998,0.0,0.0,0.0,0.0,1.24,0.0,0.0,-1.69,0.0,0.0,0.0,-0.49000000000000005
 MATERIAL DE PINTURA,0.0,0.0,-0.6799999999999999,0.0,0.0,0.0,0.0,0.0,2.2300000000000004,0.0,0.0,-0.040000000000000036,-0.6400000000000001,-0.03
 VIDRO,1.11,0.0,-2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2500000000000001
 TINTA,1.8199999999999998,0.020000000000000018,-0.59,0.13999999999999999,1.4300000000000002,0.31,-1.9300000000000002,-1.2400000000000002,2.2399999999999998,2.1,1.03,-1.46,-0.8499999999999999,0.76
 REVESTIMENTO DE PISO E PAREDE,-1.94,-1.9300000000000002,-0.93,0.020000000000000018,2.52,-1.6600000000000004,-0.74,1.1,-4.81,1.4100000000000001,-1.8299999999999998,-1.79,2.7300000000000004,-0.21000000000000008
 CIMENTO,0.8600000000000003,2.56,-1.3,13.36,3.43,0.88,-1.13,8.73,3.9000000000000004,1.19,0.24,-4.0600000000000005,-2.49,2.33
 TIJOLO,0.0,-0.43999999999999995,-0.020000000000000018,1.11,0.77,2.43,-3.04,0.1399999999999999,0.039999999999999813,-0.09999999999999998,-0.59,-0.8499999999999999,0.0,-0.009999999999999995
 MATERIAL HIDRÁULICO,0.0,0.0,0.37,0.0,-0.45999999999999996,0.0,2.4299999999999997,0.0,-1.5099999999999998,-1.52,0.0,1.7,0.0,-0.35
 MÃO DE OBRA,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56
 AREIA,-0.7799999999999998,0.0,1.15,0.0,0.0,0.0,0.0,-0.48999999999999977,-1.81,0.2899999999999999,2.8,-2.58,0.0,-0.010000000000000037
 TELHA,-2.66,0.0,-0.9500000000000002,0.0,0.0,0.0,0.5900000000000001,-0.12,3.66,0.5399999999999999,4.949999999999999,0.6099999999999999,0.0,-0.05999999999999991
 ARTIGOS DE LIMPEZA,1.06,0.94,-0.5700000000000001,-2.7,1.25,-1.79,-5.72,0.14,-0.12,-1.74,-1.1400000000000001,-1.02,0.91,-0.28
 ÁGUA SANITÁRIA,3.5700000000000003,0.0,1.03,-1.4899999999999998,0.04999999999999996,-4.01,-5.88,1.7999999999999998,1.52,-2.82,0.0,0.0,0.0,-0.41
 DETERGENTE,3.54,0.08999999999999997,1.85,-0.8999999999999999,-0.9999999999999999,-1.62,-3.9499999999999997,-0.8200000000000001,-0.9299999999999999,-6.970000000000001,-1.39,-4.119999999999999,5.59,-0.8600000000000001
 SABÃO EM PÓ,-0.009999999999999787,0.3099999999999997,-1.4100000000000001,-6.029999999999999,1.56,-1.8199999999999998,-7.0600000000000005,-0.7399999999999998,-2.29,-2.21,-3.83,-0.49,0.73,-0.99
 DESINFETANTE,-1.26,1.82,2.3899999999999997,-0.3500000000000001,0.0,-6.1899999999999995,-4.41,0.6499999999999999,1.5699999999999998,-3.6399999999999997,0.3299999999999999,-1.51,-5.1899999999999995,-0.3899999999999999
 INSETICIDA,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15
 SABÃO EM BARRA,-1.54,2.6,-1.6,-0.16000000000000003,-1.1300000000000001,0.4800000000000004,-4.4399999999999995,0.07999999999999985,5.159999999999999,0.13000000000000012,2.75,0.7999999999999999,-1.31,-0.08000000000000007
 ESPONJA DE LIMPEZA,0.0,2.6100000000000003,0.25,-0.8099999999999998,5.609999999999999,0.0,-5.42,5.21,0.0,1.0,-2.8,-0.010000000000000009,0.040000000000000036,1.89
 AMACIANTE,2.91,1.82,-3.2699999999999996,0.0,2.99,0.22000000000000003,-4.96,0.009999999999999898,-0.9400000000000001,1.83,1.29,-0.6000000000000001,2.4699999999999998,1.15
 COMBUSTÍVEIS E ENERGIA,2.61,4.66,5.27,8.8,5.039999999999999,6.550000000000001,1.3800000000000003,4.06,1.9799999999999995,3.3200000000000003,26.380000000000003,-0.19000000000000017,5.07,5.05
