Variacoes - JANEIRO - MARÇO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 SAIA,0.0,0.0,0.0,-2.6,0.0,0.0,2.36,-3.7800000000000002,2.88,0.0,-4.74,-2.0700000000000003,0.0,-0.3399999999999999
 VESTIDO,-1.65,-9.95,-3.0700000000000003,-2.08,1.1599999999999997,-2.77,-7.74,-5.880000000000001,0.4400000000000004,-5.0600000000000005,-1.5100000000000002,2.2399999999999998,-0.19999999999999996,-1.98
 BLUSA,-1.5899999999999999,-1.3900000000000006,-2.9299999999999997,-6.84,-1.9300000000000002,1.4600000000000004,0.11000000000000032,-1.3299999999999996,0.6600000000000001,-0.020000000000000018,-0.019999999999999907,5.16,0.9999999999999999,-1.4100000000000001
 LINGERIE,-0.98,-0.18000000000000005,0.25000000000000006,2.7755575615628914e-17,1.4300000000000002,1.9700000000000002,-1.25,1.72,-0.9400000000000002,-0.4800000000000002,2.11,-0.5300000000000002,-2.9600000000000004,0.27
 BERMUDA E SHORT FEMININO,-4.7,-7.11,-0.9699999999999999,-5.6899999999999995,0.0,0.3600000000000003,1.8000000000000003,-2.94,-2.14,-1.4,-0.13999999999999968,-1.1900000000000002,6.35,-2.3
 ROUPA INFANTIL,-0.9099999999999999,-2.66,-0.45999999999999974,-1.1099999999999999,-1.4,-0.62,-0.65,-2.17,-3.31,2.23,1.7499999999999996,1.25,-2.28,-0.97
 UNIFORME ESCOLAR,3.32,0.0,0.0,0.0,1.9300000000000002,0.0,3.76,0.0,3.0199999999999996,5.13,0.0,0.0,0.0,3.0100000000000002
 CALÇA COMPRIDA INFANTIL,0.45999999999999996,0.6300000000000003,1.17,0.04999999999999982,-2.2600000000000002,-2.91,0.6500000000000001,2.5100000000000002,0.4700000000000002,1.02,3.23,-1.05,-3.91,-0.21999999999999997
 AGASALHO INFANTIL,0.0,0.42000000000000015,3.12,0.0,1.3900000000000001,-0.62,0.0,0.0,0.0,-0.73,0.0,1.25,-2.28,0.9600000000000001
 VESTIDO INFANTIL,-4.43,0.0,-1.2000000000000006,-1.9699999999999998,-1.5399999999999996,-3.02,-1.8900000000000003,-1.32,-4.49,4.97,6.6,-2.5100000000000002,-1.05,-1.21
 SHORT E BERMUDA INFANTIL,-2.48,-5.63,-2.9099999999999997,-1.46,-2.8200000000000003,-1.5899999999999999,1.6400000000000003,-3.24,2.6399999999999997,1.13,2.5700000000000003,3.2199999999999998,-1.9099999999999997,-1.37
