Variacoes - JANEIRO - FEVEREIRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 BRÓCOLIS,7.96,3.9200000000000004,0.44999999999999996,0.0,0.9699999999999998,-1.6,5.2700000000000005,0.0,0.0,-0.7800000000000002,0.0,5.95,0.0,0.0,0.0,0.0,2.15
 FRUTAS,11.22,3.8899999999999997,17.22,4.82,8.12,3.6100000000000003,10.26,5.8100000000000005,9.58,10.17,5.58,4.0,6.68,4.09,5.4399999999999995,7.67,8.81
 BANANA-DA-TERRA,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,3.6799999999999997,0.0,0.0,3.2,0.0,1.14,0.0,0.0,3.16
 ABACAXI,20.91,16.52,0.0,15.690000000000001,0.0,0.0,5.9799999999999995,0.0,0.0,0.0,5.180000000000001,19.47,24.29,0.0,0.0,25.35,14.88
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,6.22,0.0,0.0,0.0,0.0,0.0,0.0,4.879999999999999,0.0,0.0,5.840000000000001
 BANANA-D'ÁGUA,8.62,8.81,27.76,0.0,5.27,9.42,0.0,0.0,0.0,10.63,0.0,0.0,8.42,0.0,2.11,0.0,8.46
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.07,0.0,15.7,0.0,0.0,0.0,8.9
 BANANA-PRATA,18.4,13.07,29.17,13.99,12.25,12.780000000000001,14.8,12.93,22.91,6.970000000000001,15.600000000000001,5.989999999999999,0.0,9.04,3.45,5.14,16.77
 LARANJA-BAÍA,0.0,4.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72
 LARANJA-LIMA,0.0,0.0,27.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.79
 LIMÃO,-26.87,0.0,0.0,0.0,-28.85,-34.76,0.0,0.0,0.0,0.0,-20.63,-43.58,0.0,-41.480000000000004,0.0,0.0,-29.17
 MAÇÃ,4.9399999999999995,3.68,6.4,-4.42,3.1800000000000006,1.18,6.9399999999999995,2.5599999999999996,-4.08,12.84,4.13,5.42,2.2299999999999995,3.7199999999999998,8.28,2.83,3.87
 MAMÃO,-3.92,-10.89,-10.129999999999999,-1.9400000000000002,-0.6100000000000003,-5.800000000000001,0.0,-6.46,-5.08,-0.16000000000000014,0.13999999999999968,-9.98,-5.8500000000000005,9.85,0.0,-3.28,-4.12
 MANGA,36.74,38.15,55.32,0.0,43.58,27.92,0.0,20.68,20.189999999999998,45.23,0.0,26.900000000000002,0.0,0.0,0.0,9.5,40.260000000000005
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.94,31.450000000000003,0.0,0.0,0.0,0.0,0.0,0.0,20.61,14.829999999999998
 MELANCIA,0.0,0.0,-15.450000000000003,-1.5000000000000002,0.0,-7.739999999999998,3.3999999999999995,0.0,0.3600000000000003,-7.370000000000001,-9.07,0.0,-3.0199999999999996,3.46,10.49,0.0,-5.210000000000001
 MELÃO,-1.89,0.0,0.0,-4.1899999999999995,0.0,-13.649999999999999,6.47,0.0,0.0,-5.76,0.0,0.0,0.0,0.0,3.13,0.0,-3.3600000000000003
 PERA,0.0,0.0,0.0,0.0,0.9900000000000002,0.0,0.0,0.0,0.0,0.0,-0.8400000000000001,7.84,0.0,0.0,0.0,0.0,1.04
 TANGERINA,0.0,0.0,0.0,0.0,8.12,0.0,0.0,0.0,0.0,10.17,0.0,0.0,0.0,0.0,0.0,0.0,8.690000000000001
 UVA,4.83,6.880000000000001,14.65,6.59,4.42,4.73,8.71,7.49,4.68,8.11,6.54,9.61,1.44,4.55,6.41,4.45,6.390000000000001
 LARANJA-PERA,16.189999999999998,0.0,22.869999999999997,13.120000000000001,14.55,18.04,15.21,27.79,9.42,14.59,18.259999999999998,8.27,16.66,22.5,14.25,17.54,16.23
 MORANGO,0.0,-15.129999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.129999999999999
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,8.13,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,6.27
 CARNES,-0.7699999999999999,-1.7400000000000002,-1.0099999999999998,-0.28,-0.14,0.6100000000000001,-1.32,-1.71,2.0,-1.4899999999999998,-0.3999999999999999,-0.5799999999999998,0.21000000000000008,1.21,0.8,1.07,-0.49999999999999994
 FÍGADO,0.0,0.0,0.0,-1.85,0.0,0.0,-2.19,-11.49,-5.12,0.0,0.0,0.0,0.0,0.0,-7.75,0.0,-5.21
 CARNE DE PORCO,0.7900000000000001,2.5999999999999996,-0.95,0.36000000000000004,-2.76,1.06,0.48999999999999977,-3.3200000000000003,1.1900000000000002,-6.41,0.020000000000000018,1.84,-0.8400000000000001,2.48,-3.52,-0.0900000000000003,-1.49
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036
 CUPIM,0.0,0.0,0.0,-2.74,0.0,0.0,0.0,0.0,0.0,0.0,-2.03,0.0,0.0,0.0,0.0,0.0,-2.38
 CONTRAFILÉ,-2.83,2.06,-0.29000000000000004,0.3899999999999999,1.25,-0.050000000000000044,-0.040000000000000036,-3.26,2.3500000000000005,-0.49999999999999994,-0.16000000000000014,-0.4900000000000002,1.4900000000000002,2.54,4.84,4.619999999999999,0.43000000000000005
