MÊS,PRODUTO,REGIÃO,PREÇO MÉDIO REVENDA
03-01-2016,GASOLINA COMUM,NORTE,4.03285
03-01-2016,GASOLINA COMUM,SUDESTE,3.73721875
03-01-2016,GASOLINA COMUM,SUL,3.807728260869565
03-01-2016,GLP,CENTRO OESTE,61.20842424242424
03-01-2016,GLP,NORDESTE,52.38885454545455
03-01-2016,GLP,NORTE,61.73282051282051
03-01-2016,GLP,SUDESTE,52.73770535714285
03-01-2016,GLP,SUL,55.30683695652174
03-01-2016,GNV,CENTRO OESTE,2.568
03-01-2016,GNV,NORDESTE,2.3916
03-01-2016,GNV,NORTE,3.4349999999999996
03-01-2016,GNV,SUDESTE,2.2117125
03-01-2016,GNV,SUL,2.495135135135135
03-01-2016,OLEO DIESEL,CENTRO OESTE,3.1700909090909093
03-01-2016,OLEO DIESEL,NORDESTE,3.0547199999999997
03-01-2016,OLEO DIESEL,NORTE,3.3047567567567566
03-01-2016,OLEO DIESEL,SUDESTE,2.981798206278027
03-01-2016,OLEO DIESEL,SUL,2.9373152173913044
03-01-2016,OLEO DIESEL S10,CENTRO OESTE,3.333121212121212
03-01-2016,OLEO DIESEL S10,NORDESTE,3.1706428571428575
03-01-2016,OLEO DIESEL S10,NORTE,3.431
03-01-2016,OLEO DIESEL S10,SUDESTE,3.1104508928571426
03-01-2016,OLEO DIESEL S10,SUL,3.079695652173913
03-01-2017,ETANOL HIDRATADO,CENTRO OESTE,2.9232727272727272
03-01-2017,ETANOL HIDRATADO,NORDESTE,3.1741711711711713
03-01-2017,ETANOL HIDRATADO,NORTE,3.6871818181818186
03-01-2017,ETANOL HIDRATADO,SUDESTE,2.8738660714285715
03-01-2017,ETANOL HIDRATADO,SUL,3.39567032967033
03-01-2017,GASOLINA COMUM,CENTRO OESTE,3.8025151515151516
03-01-2017,GASOLINA COMUM,NORDESTE,3.7416339285714284
03-01-2017,GASOLINA COMUM,NORTE,4.0641
03-01-2017,GASOLINA COMUM,SUDESTE,3.7435982142857145
03-01-2017,GASOLINA COMUM,SUL,3.784728260869565
03-01-2017,GLP,CENTRO OESTE,62.78963636363636
03-01-2017,GLP,NORDESTE,53.40536363636364
03-01-2017,GLP,NORTE,64.88707692307692
03-01-2017,GLP,SUDESTE,54.574609865470855
03-01-2017,GLP,SUL,57.47
03-01-2017,GNV,CENTRO OESTE,2.4436666666666667
03-01-2017,GNV,NORDESTE,2.46672972972973
03-01-2017,GNV,NORTE,2.9
03-01-2017,GNV,SUDESTE,2.312027397260274
03-01-2017,GNV,SUL,2.409851851851852
03-01-2017,OLEO DIESEL,CENTRO OESTE,3.2433636363636364
03-01-2017,OLEO DIESEL,NORDESTE,3.0637731958762884
03-01-2017,OLEO DIESEL,NORTE,3.361083333333333
03-01-2017,OLEO DIESEL,SUDESTE,3.0416741071428572
03-01-2017,OLEO DIESEL,SUL,2.961445652173913
03-01-2017,OLEO DIESEL S10,CENTRO OESTE,3.392848484848485
03-01-2017,OLEO DIESEL S10,NORDESTE,3.1575446428571428
03-01-2017,OLEO DIESEL S10,NORTE,3.4646500000000002
03-01-2017,OLEO DIESEL S10,SUDESTE,3.1651651785714283
03-01-2017,OLEO DIESEL S10,SUL,3.091652173913044
03-01-2018,ETANOL HIDRATADO,CENTRO OESTE,3.14009375
03-01-2018,ETANOL HIDRATADO,NORDESTE,3.3809052631578944
03-01-2018,ETANOL HIDRATADO,NORTE,3.7329
03-01-2018,ETANOL HIDRATADO,SUDESTE,3.162144230769231
03-01-2018,ETANOL HIDRATADO,SUL,3.6264651162790695
03-01-2018,GASOLINA COMUM,CENTRO OESTE,4.33853125
03-01-2018,GASOLINA COMUM,NORDESTE,4.1979999999999995
03-01-2018,GASOLINA COMUM,NORTE,4.423972972972973
03-01-2018,GASOLINA COMUM,SUDESTE,4.289769230769231
03-01-2018,GASOLINA COMUM,SUL,4.227197674418605
03-01-2018,GLP,CENTRO OESTE,77.48053125
03-01-2018,GLP,NORDESTE,64.74020833333334
03-01-2018,GLP,NORTE,78.94667567567568
03-01-2018,GLP,SUDESTE,65.21904830917875
03-01-2018,GLP,SUL,68.86859302325581
03-01-2018,GNV,CENTRO OESTE,2.592333333333333
03-01-2018,GNV,NORDESTE,2.7700400000000003
03-01-2018,GNV,NORTE,3.013
03-01-2018,GNV,SUDESTE,2.561689189189189
03-01-2018,GNV,SUL,2.52848
03-01-2018,OLEO DIESEL,CENTRO OESTE,3.5971875
03-01-2018,OLEO DIESEL,NORDESTE,3.4011764705882355
03-01-2018,OLEO DIESEL,NORTE,3.6060588235294118
03-01-2018,OLEO DIESEL,SUDESTE,3.394456730769231
03-01-2018,OLEO DIESEL,SUL,3.261906976744186
03-01-2018,OLEO DIESEL S10,CENTRO OESTE,3.707125
03-01-2018,OLEO DIESEL S10,NORDESTE,3.4819375000000004
03-01-2018,OLEO DIESEL S10,NORTE,3.719972972972973
03-01-2018,OLEO DIESEL S10,SUDESTE,3.5080336538461543
03-01-2018,OLEO DIESEL S10,SUL,3.3703488372093027
04-01-2016,ETANOL HIDRATADO,CENTRO OESTE,2.957757575757576
04-01-2016,ETANOL HIDRATADO,NORDESTE,3.24836036036036
04-01-2016,ETANOL HIDRATADO,NORTE,3.5616470588235294
04-01-2016,ETANOL HIDRATADO,SUDESTE,2.857200892857143
04-01-2016,ETANOL HIDRATADO,SUL,3.321032967032967
04-01-2016,GASOLINA COMUM,CENTRO OESTE,3.830515151515151
04-01-2016,GASOLINA COMUM,NORDESTE,3.8302410714285715
04-01-2016,GASOLINA COMUM,NORTE,4.039350000000001
04-01-2016,GASOLINA COMUM,SUDESTE,3.731142857142857
04-01-2016,GASOLINA COMUM,SUL,3.8088260869565214
04-01-2016,GLP,CENTRO OESTE,61.36560606060606
04-01-2016,GLP,NORDESTE,52.422636363636364
04-01-2016,GLP,NORTE,61.472589743589744
04-01-2016,GLP,SUDESTE,52.14811160714286
04-01-2016,GLP,SUL,55.29990217391305
04-01-2016,GNV,CENTRO OESTE,2.4706
04-01-2016,GNV,NORDESTE,2.390057142857143
04-01-2016,GNV,NORTE,2.85
04-01-2016,GNV,SUDESTE,2.213746835443038
04-01-2016,GNV,SUL,2.479375
04-01-2016,OLEO DIESEL,CENTRO OESTE,3.171090909090909
04-01-2016,OLEO DIESEL,NORDESTE,3.06272
04-01-2016,OLEO DIESEL,NORTE,3.316552631578947
04-01-2016,OLEO DIESEL,SUDESTE,2.9883991031390136
04-01-2016,OLEO DIESEL,SUL,2.9397065217391303
04-01-2016,OLEO DIESEL S10,CENTRO OESTE,3.3308787878787878
04-01-2016,OLEO DIESEL S10,NORDESTE,3.174044642857143
04-01-2016,OLEO DIESEL S10,NORTE,3.4319499999999996
04-01-2016,OLEO DIESEL S10,SUDESTE,3.1173348214285714
04-01-2016,OLEO DIESEL S10,SUL,3.0754130434782607
04-01-2017,ETANOL HIDRATADO,CENTRO OESTE,2.837151515151515
04-01-2017,ETANOL HIDRATADO,NORDESTE,3.1472792792792794
04-01-2017,ETANOL HIDRATADO,NORTE,3.6564848484848484
04-01-2017,ETANOL HIDRATADO,SUDESTE,2.7635669642857144
04-01-2017,ETANOL HIDRATADO,SUL,3.2952391304347826
04-01-2017,GASOLINA COMUM,CENTRO OESTE,3.7464545454545455
04-01-2017,GASOLINA COMUM,NORDESTE,3.7079196428571426
04-01-2017,GASOLINA COMUM,NORTE,4.0310749999999995
04-01-2017,GASOLINA COMUM,SUDESTE,3.6891428571428575
04-01-2017,GASOLINA COMUM,SUL,3.7185108695652174
04-01-2017,GLP,CENTRO OESTE,64.23321212121212
04-01-2017,GLP,NORDESTE,55.152290909090915
04-01-2017,GLP,NORTE,67.56025641025641
04-01-2017,GLP,SUDESTE,56.015349775784756
04-01-2017,GLP,SUL,58.399239130434786
04-01-2017,GNV,CENTRO OESTE,2.4499999999999997
04-01-2017,GNV,NORDESTE,2.435611111111111
04-01-2017,GNV,NORTE,2.917
04-01-2017,GNV,SUDESTE,2.320388888888889
04-01-2017,GNV,SUL,2.4163333333333337
04-01-2017,OLEO DIESEL,CENTRO OESTE,3.2154545454545453
04-01-2017,OLEO DIESEL,NORDESTE,3.0159583333333333
04-01-2017,OLEO DIESEL,NORTE,3.3155833333333335
04-01-2017,OLEO DIESEL,SUDESTE,3.0109508928571427
04-01-2017,OLEO DIESEL,SUL,2.9240108695652176
04-01-2017,OLEO DIESEL S10,CENTRO OESTE,3.3593939393939394
04-01-2017,OLEO DIESEL S10,NORDESTE,3.106419642857143
04-01-2017,OLEO DIESEL S10,NORTE,3.4256
04-01-2017,OLEO DIESEL S10,SUDESTE,3.134308035714286
04-01-2017,OLEO DIESEL S10,SUL,3.0532717391304347
04-01-2018,ETANOL HIDRATADO,CENTRO OESTE,3.22778125
04-01-2018,ETANOL HIDRATADO,NORDESTE,3.4493829787234045
04-01-2018,ETANOL HIDRATADO,NORTE,3.8293666666666666
04-01-2018,ETANOL HIDRATADO,SUDESTE,3.124403846153846
04-01-2018,ETANOL HIDRATADO,SUL,3.6291395348837208
04-01-2018,GASOLINA COMUM,CENTRO OESTE,4.36028125
04-01-2018,GASOLINA COMUM,NORDESTE,4.230635416666667
04-01-2018,GASOLINA COMUM,NORTE,4.458459459459459
04-01-2018,GASOLINA COMUM,SUDESTE,4.314245192307693
04-01-2018,GASOLINA COMUM,SUL,4.240465116279069
04-01-2018,GLP,CENTRO OESTE,77.7771875
04-01-2018,GLP,NORDESTE,64.76780208333334
04-01-2018,GLP,NORTE,79.1067027027027
04-01-2018,GLP,SUDESTE,65.13638647342995
04-01-2018,GLP,SUL,68.93272093023256
04-01-2018,GNV,CENTRO OESTE,2.638333333333333
04-01-2018,GNV,NORDESTE,2.7836250000000002
04-01-2018,GNV,NORTE,3.17
04-01-2018,GNV,SUDESTE,2.563027397260274
04-01-2018,GNV,SUL,2.576
04-01-2018,OLEO DIESEL,CENTRO OESTE,3.63296875
04-01-2018,OLEO DIESEL,NORDESTE,3.4516705882352943
04-01-2018,OLEO DIESEL,NORTE,3.665787878787879
04-01-2018,OLEO DIESEL,SUDESTE,3.4373269230769234
04-01-2018,OLEO DIESEL,SUL,3.302511627906977
04-01-2018,OLEO DIESEL S10,CENTRO OESTE,3.73834375
04-01-2018,OLEO DIESEL S10,NORDESTE,3.5254166666666666
04-01-2018,OLEO DIESEL S10,NORTE,3.7623783783783784
04-01-2018,OLEO DIESEL S10,SUDESTE,3.5460961538461535
04-01-2018,OLEO DIESEL S10,SUL,3.4065465116279072
05-01-2016,ETANOL HIDRATADO,CENTRO OESTE,2.726909090909091
05-01-2016,ETANOL HIDRATADO,NORDESTE,3.177351351351351
05-01-2016,ETANOL HIDRATADO,NORTE,3.5318823529411767
05-01-2016,ETANOL HIDRATADO,SUDESTE,2.570674107142857
05-01-2016,ETANOL HIDRATADO,SUL,3.1727802197802197
05-01-2016,GASOLINA COMUM,CENTRO OESTE,3.7604848484848485
05-01-2016,GASOLINA COMUM,NORDESTE,3.82225
05-01-2016,GASOLINA COMUM,NORTE,4.032500000000001
