,MÊS,PRODUTO,PREÇO MÉDIO REVENDA
981,01-01-2022,GASOLINA COMUM,6.282
982,01-01-2022,GASOLINA COMUM,6.806
983,01-01-2022,GASOLINA COMUM,5.881
984,01-01-2022,GASOLINA COMUM,6.479
985,01-01-2022,GASOLINA COMUM,6.472
986,01-01-2022,GASOLINA COMUM,6.585
987,01-01-2022,GASOLINA COMUM,7.324
988,01-01-2022,GASOLINA COMUM,6.775
989,01-01-2022,GASOLINA COMUM,6.504
990,01-01-2022,GASOLINA COMUM,6.261
991,01-01-2022,GASOLINA COMUM,6.654
992,01-01-2022,GASOLINA COMUM,6.157
993,01-01-2022,GASOLINA COMUM,6.314
994,01-01-2022,GASOLINA COMUM,6.941
995,01-01-2022,GASOLINA COMUM,6.121
996,01-01-2022,GASOLINA COMUM,6.366
997,01-01-2022,GASOLINA COMUM,6.381
998,01-01-2022,GASOLINA COMUM,6.399
999,01-01-2022,GASOLINA COMUM,6.295
1000,01-01-2022,GASOLINA COMUM,6.631
1001,01-01-2022,GASOLINA COMUM,7.003
1002,01-01-2022,GASOLINA COMUM,6.955
1003,01-01-2022,GASOLINA COMUM,7.052
1004,01-01-2022,GASOLINA COMUM,7.009
1005,01-01-2022,GASOLINA COMUM,7.202
1006,01-01-2022,GASOLINA COMUM,7.06
1007,01-01-2022,GASOLINA COMUM,7.188
1008,01-01-2022,GASOLINA COMUM,7.129
1009,01-01-2022,GASOLINA COMUM,6.693
1010,01-01-2022,GASOLINA COMUM,7.291
1011,01-01-2022,GASOLINA COMUM,7.157
1012,01-01-2022,GASOLINA COMUM,6.231
1013,01-01-2022,GASOLINA COMUM,6.363
1014,01-01-2022,GASOLINA COMUM,6.548
1015,01-01-2022,GASOLINA COMUM,6.872
1016,01-01-2022,GASOLINA COMUM,6.29
1017,01-01-2022,GASOLINA COMUM,6.45
1018,01-01-2022,GASOLINA COMUM,6.466
1019,01-01-2022,GASOLINA COMUM,7.13
1020,01-01-2022,GASOLINA COMUM,6.691
1021,01-01-2022,GASOLINA COMUM,6.82
1022,01-01-2022,GASOLINA COMUM,6.773
1023,01-01-2022,GASOLINA COMUM,6.978
1024,01-01-2022,GASOLINA COMUM,7.091
1025,01-01-2022,GASOLINA COMUM,7.132
1026,01-01-2022,GASOLINA COMUM,6.313
1027,01-01-2022,GASOLINA COMUM,6.506
1028,01-01-2022,GASOLINA COMUM,6.511
1029,01-01-2022,GASOLINA COMUM,7.27
1030,01-01-2022,GASOLINA COMUM,7.183
1031,01-01-2022,GASOLINA COMUM,6.917
1032,01-01-2022,GASOLINA COMUM,6.471
1033,01-01-2022,GASOLINA COMUM,7.397
1034,01-01-2022,GASOLINA COMUM,7.036
1035,01-01-2022,GASOLINA COMUM,7.253
1036,01-01-2022,GASOLINA COMUM,6.208
1037,01-01-2022,GASOLINA COMUM,6.494
1038,01-01-2022,GASOLINA COMUM,6.867
1039,01-01-2022,GASOLINA COMUM,6.894
1040,01-01-2022,GASOLINA COMUM,7.287
1041,01-01-2022,GASOLINA COMUM,7.61
1042,01-01-2022,GASOLINA COMUM,7.179
1043,01-01-2022,GASOLINA COMUM,6.234
1044,01-01-2022,GASOLINA COMUM,6.213
1045,01-01-2022,GASOLINA COMUM,6.348
1046,01-01-2022,GASOLINA COMUM,6.379
1047,01-01-2022,GASOLINA COMUM,6.991
1048,01-01-2022,GASOLINA COMUM,6.286
1049,01-01-2022,GASOLINA COMUM,6.869
1050,01-01-2022,GASOLINA COMUM,6.262
1051,01-01-2022,GASOLINA COMUM,6.797
1052,01-01-2022,GASOLINA COMUM,6.523
1053,01-01-2022,GASOLINA COMUM,6.49
1054,01-01-2022,GASOLINA COMUM,6.756
1055,01-01-2022,GASOLINA COMUM,6.664
1056,01-01-2022,GASOLINA COMUM,6.942
1057,01-01-2022,GASOLINA COMUM,6.321
1058,01-01-2022,GASOLINA COMUM,6.211
1059,01-01-2022,GASOLINA COMUM,6.433
1060,01-01-2022,GASOLINA COMUM,6.57
1061,01-01-2022,GASOLINA COMUM,6.52
1062,01-01-2022,GASOLINA COMUM,7.22
1063,01-01-2022,GASOLINA COMUM,7.225
1064,01-01-2022,GASOLINA COMUM,6.368
1065,01-01-2022,GASOLINA COMUM,6.369
1066,01-01-2022,GASOLINA COMUM,6.979
1067,01-01-2022,GASOLINA COMUM,6.935
1068,01-01-2022,GASOLINA COMUM,6.165
1069,01-01-2022,GASOLINA COMUM,7.083
1070,01-01-2022,GASOLINA COMUM,6.754
1071,01-01-2022,GASOLINA COMUM,6.918
1072,01-01-2022,GASOLINA COMUM,6.585
1073,01-01-2022,GASOLINA COMUM,6.284
1074,01-01-2022,GASOLINA COMUM,6.807
1075,01-01-2022,GASOLINA COMUM,6.366
1076,01-01-2022,GASOLINA COMUM,6.526
1077,01-01-2022,GASOLINA COMUM,6.479
1078,01-01-2022,GASOLINA COMUM,6.681
1079,01-01-2022,GASOLINA COMUM,6.591
1080,01-01-2022,GASOLINA COMUM,6.58
1081,01-01-2022,GASOLINA COMUM,6.757
1082,01-01-2022,GASOLINA COMUM,6.371
1083,01-01-2022,GASOLINA COMUM,6.734
1084,01-01-2022,GASOLINA COMUM,6.6
1085,01-01-2022,GASOLINA COMUM,6.567
1086,01-01-2022,GASOLINA COMUM,6.355
1087,01-01-2022,GASOLINA COMUM,6.42
1088,01-01-2022,GASOLINA COMUM,6.543
1089,01-01-2022,GASOLINA COMUM,7.408
1090,01-01-2022,GASOLINA COMUM,6.833
1091,01-01-2022,GASOLINA COMUM,7.049
1092,01-01-2022,GASOLINA COMUM,6.178
1093,01-01-2022,GASOLINA COMUM,7.038
1094,01-01-2022,GASOLINA COMUM,7.04
1095,01-01-2022,GASOLINA COMUM,6.698
1096,01-01-2022,GASOLINA COMUM,6.426
1097,01-01-2022,GASOLINA COMUM,6.101
1098,01-01-2022,GASOLINA COMUM,6.095
1099,01-01-2022,GASOLINA COMUM,6.227
1100,01-01-2022,GASOLINA COMUM,6.315
1101,01-01-2022,GASOLINA COMUM,6.456
1102,01-01-2022,GASOLINA COMUM,6.799
1103,01-01-2022,GASOLINA COMUM,6.919
1104,01-01-2022,GASOLINA COMUM,6.417
1105,01-01-2022,GASOLINA COMUM,6.37
1106,01-01-2022,GASOLINA COMUM,7.279
1107,01-01-2022,GASOLINA COMUM,6.375
1108,01-01-2022,GASOLINA COMUM,6.235
1109,01-01-2022,GASOLINA COMUM,6.299
1110,01-01-2022,GASOLINA COMUM,7.474
1111,01-01-2022,GASOLINA COMUM,6.663
1112,01-01-2022,GASOLINA COMUM,6.553
1113,01-01-2022,GASOLINA COMUM,6.71
1114,01-01-2022,GASOLINA COMUM,6.577
1115,01-01-2022,GASOLINA COMUM,6.813
1116,01-01-2022,GASOLINA COMUM,6.711
1117,01-01-2022,GASOLINA COMUM,6.614
1118,01-01-2022,GASOLINA COMUM,6.285
1119,01-01-2022,GASOLINA COMUM,6.831
1120,01-01-2022,GASOLINA COMUM,6.72
1121,01-01-2022,GASOLINA COMUM,6.268
1122,01-01-2022,GASOLINA COMUM,6.268
1123,01-01-2022,GASOLINA COMUM,6.313
1124,01-01-2022,GASOLINA COMUM,6.379
1125,01-01-2022,GASOLINA COMUM,6.182
1126,01-01-2022,GASOLINA COMUM,7.334
1127,01-01-2022,GASOLINA COMUM,7.02
1128,01-01-2022,GASOLINA COMUM,6.833
1129,01-01-2022,GASOLINA COMUM,7.209
1130,01-01-2022,GASOLINA COMUM,6.999
1131,01-01-2022,GASOLINA COMUM,6.538
1132,01-01-2022,GASOLINA COMUM,6.52
1133,01-01-2022,GASOLINA COMUM,7.347
1134,01-01-2022,GASOLINA COMUM,6.771
1135,01-01-2022,GASOLINA COMUM,6.986
1136,01-01-2022,GASOLINA COMUM,6.249
1137,01-01-2022,GASOLINA COMUM,6.633
1138,01-01-2022,GASOLINA COMUM,7.113
1139,01-01-2022,GASOLINA COMUM,6.517
1140,01-01-2022,GASOLINA COMUM,6.913
1141,01-01-2022,GASOLINA COMUM,6.787
1142,01-01-2022,GASOLINA COMUM,6.632
1143,01-01-2022,GASOLINA COMUM,7.205
1144,01-01-2022,GASOLINA COMUM,6.58
1145,01-01-2022,GASOLINA COMUM,6.836
1146,01-01-2022,GASOLINA COMUM,6.78
1147,01-01-2022,GASOLINA COMUM,7.496
1148,01-01-2022,GASOLINA COMUM,6.298
1149,01-01-2022,GASOLINA COMUM,6.848
1150,01-01-2022,GASOLINA COMUM,6.984
1151,01-01-2022,GASOLINA COMUM,6.392
1152,01-01-2022,GASOLINA COMUM,6.418
1153,01-01-2022,GASOLINA COMUM,6.461
1154,01-01-2022,GASOLINA COMUM,7.211
1155,01-01-2022,GASOLINA COMUM,6.636
1156,01-01-2022,GASOLINA COMUM,6.773
1157,01-01-2022,GASOLINA COMUM,6.792
1158,01-01-2022,GASOLINA COMUM,6.296
1159,01-01-2022,GASOLINA COMUM,6.832
1160,01-01-2022,GASOLINA COMUM,7.145
1161,01-01-2022,GASOLINA COMUM,6.475
1162,01-01-2022,GASOLINA COMUM,7.393
1163,01-01-2022,GASOLINA COMUM,6.265
1164,01-01-2022,GASOLINA COMUM,6.308
1165,01-01-2022,GASOLINA COMUM,6.537
1166,01-01-2022,GASOLINA COMUM,7.401
3299,01-02-2022,GASOLINA COMUM,6.922
3300,01-02-2022,GASOLINA COMUM,6.319
3301,01-02-2022,GASOLINA COMUM,6.934
3302,01-02-2022,GASOLINA COMUM,6.706
3303,01-02-2022,GASOLINA COMUM,7.239
3304,01-02-2022,GASOLINA COMUM,7.202
3305,01-02-2022,GASOLINA COMUM,7.079
3306,01-02-2022,GASOLINA COMUM,7.233
3307,01-02-2022,GASOLINA COMUM,6.485
3308,01-02-2022,GASOLINA COMUM,6.339
3309,01-02-2022,GASOLINA COMUM,6.297
3310,01-02-2022,GASOLINA COMUM,6.429
3311,01-02-2022,GASOLINA COMUM,6.708
3312,01-02-2022,GASOLINA COMUM,7.784
3313,01-02-2022,GASOLINA COMUM,6.699
3314,01-02-2022,GASOLINA COMUM,6.542
3315,01-02-2022,GASOLINA COMUM,6.457
3316,01-02-2022,GASOLINA COMUM,6.275
3317,01-02-2022,GASOLINA COMUM,6.915
3318,01-02-2022,GASOLINA COMUM,7.004
3319,01-02-2022,GASOLINA COMUM,6.794
3320,01-02-2022,GASOLINA COMUM,6.524
3321,01-02-2022,GASOLINA COMUM,6.649
3322,01-02-2022,GASOLINA COMUM,6.299
3323,01-02-2022,GASOLINA COMUM,6.216
3324,01-02-2022,GASOLINA COMUM,6.232
3325,01-02-2022,GASOLINA COMUM,6.991
3326,01-02-2022,GASOLINA COMUM,7.456
3327,01-02-2022,GASOLINA COMUM,6.967
3328,01-02-2022,GASOLINA COMUM,6.451
3329,01-02-2022,GASOLINA COMUM,6.484
3330,01-02-2022,GASOLINA COMUM,6.417
3331,01-02-2022,GASOLINA COMUM,6.235
3332,01-02-2022,GASOLINA COMUM,7.352
3333,01-02-2022,GASOLINA COMUM,6.587
3334,01-02-2022,GASOLINA COMUM,7.143
3335,01-02-2022,GASOLINA COMUM,6.858
3336,01-02-2022,GASOLINA COMUM,6.831
3337,01-02-2022,GASOLINA COMUM,7.427
3338,01-02-2022,GASOLINA COMUM,6.907
3339,01-02-2022,GASOLINA COMUM,6.598
3340,01-02-2022,GASOLINA COMUM,6.511
3341,01-02-2022,GASOLINA COMUM,6.144
3342,01-02-2022,GASOLINA COMUM,6.463
3343,01-02-2022,GASOLINA COMUM,6.416
3344,01-02-2022,GASOLINA COMUM,6.658
3345,01-02-2022,GASOLINA COMUM,7.054
3346,01-02-2022,GASOLINA COMUM,6.864
3347,01-02-2022,GASOLINA COMUM,6.425
3348,01-02-2022,GASOLINA COMUM,6.544
3349,01-02-2022,GASOLINA COMUM,6.879
3350,01-02-2022,GASOLINA COMUM,6.66
3351,01-02-2022,GASOLINA COMUM,6.49
3352,01-02-2022,GASOLINA COMUM,6.516
3353,01-02-2022,GASOLINA COMUM,6.48
3354,01-02-2022,GASOLINA COMUM,6.849
3355,01-02-2022,GASOLINA COMUM,6.559
3356,01-02-2022,GASOLINA COMUM,6.819
3357,01-02-2022,GASOLINA COMUM,6.284
3358,01-02-2022,GASOLINA COMUM,6.767
3359,01-02-2022,GASOLINA COMUM,6.701
3360,01-02-2022,GASOLINA COMUM,6.547
3361,01-02-2022,GASOLINA COMUM,6.436
3362,01-02-2022,GASOLINA COMUM,7.621
3363,01-02-2022,GASOLINA COMUM,6.722
3364,01-02-2022,GASOLINA COMUM,6.21
3365,01-02-2022,GASOLINA COMUM,6.339
3366,01-02-2022,GASOLINA COMUM,6.145
3367,01-02-2022,GASOLINA COMUM,6.198
3368,01-02-2022,GASOLINA COMUM,6.897
3369,01-02-2022,GASOLINA COMUM,7.066
3370,01-02-2022,GASOLINA COMUM,7.405
3371,01-02-2022,GASOLINA COMUM,6.87
3372,01-02-2022,GASOLINA COMUM,6.987
3373,01-02-2022,GASOLINA COMUM,6.626
3374,01-02-2022,GASOLINA COMUM,6.49
3375,01-02-2022,GASOLINA COMUM,7.053
3376,01-02-2022,GASOLINA COMUM,6.471
3377,01-02-2022,GASOLINA COMUM,6.214
3378,01-02-2022,GASOLINA COMUM,7.013
3379,01-02-2022,GASOLINA COMUM,6.367
3380,01-02-2022,GASOLINA COMUM,6.394
3381,01-02-2022,GASOLINA COMUM,6.337
3382,01-02-2022,GASOLINA COMUM,7.164
3383,01-02-2022,GASOLINA COMUM,6.113
3384,01-02-2022,GASOLINA COMUM,6.612
3385,01-02-2022,GASOLINA COMUM,6.148
3386,01-02-2022,GASOLINA COMUM,6.722
3387,01-02-2022,GASOLINA COMUM,6.398
3388,01-02-2022,GASOLINA COMUM,6.693
3389,01-02-2022,GASOLINA COMUM,6.648
3390,01-02-2022,GASOLINA COMUM,6.457
3391,01-02-2022,GASOLINA COMUM,6.888
3392,01-02-2022,GASOLINA COMUM,6.377
3393,01-02-2022,GASOLINA COMUM,6.464
3394,01-02-2022,GASOLINA COMUM,6.345
3395,01-02-2022,GASOLINA COMUM,6.451
3396,01-02-2022,GASOLINA COMUM,6.558
3397,01-02-2022,GASOLINA COMUM,6.972
3398,01-02-2022,GASOLINA COMUM,6.415
3399,01-02-2022,GASOLINA COMUM,7.342
3400,01-02-2022,GASOLINA COMUM,6.802
3401,01-02-2022,GASOLINA COMUM,6.994
3402,01-02-2022,GASOLINA COMUM,6.855
3403,01-02-2022,GASOLINA COMUM,6.658
3404,01-02-2022,GASOLINA COMUM,6.924
3405,01-02-2022,GASOLINA COMUM,7.179
3406,01-02-2022,GASOLINA COMUM,6.126
3407,01-02-2022,GASOLINA COMUM,6.274
3408,01-02-2022,GASOLINA COMUM,6.864
3409,01-02-2022,GASOLINA COMUM,6.634
3410,01-02-2022,GASOLINA COMUM,6.337
3411,01-02-2022,GASOLINA COMUM,6.862
3412,01-02-2022,GASOLINA COMUM,6.42
3413,01-02-2022,GASOLINA COMUM,7.498
3414,01-02-2022,GASOLINA COMUM,6.865
3415,01-02-2022,GASOLINA COMUM,6.279
3416,01-02-2022,GASOLINA COMUM,6.451
3417,01-02-2022,GASOLINA COMUM,7.271
3418,01-02-2022,GASOLINA COMUM,6.247
3419,01-02-2022,GASOLINA COMUM,6.823
3420,01-02-2022,GASOLINA COMUM,6.345
3421,01-02-2022,GASOLINA COMUM,6.264
3422,01-02-2022,GASOLINA COMUM,7.073
3423,01-02-2022,GASOLINA COMUM,6.431
3424,01-02-2022,GASOLINA COMUM,6.48
3425,01-02-2022,GASOLINA COMUM,6.231
3426,01-02-2022,GASOLINA COMUM,7.508
3427,01-02-2022,GASOLINA COMUM,6.657
3428,01-02-2022,GASOLINA COMUM,6.559
3429,01-02-2022,GASOLINA COMUM,7.002
3430,01-02-2022,GASOLINA COMUM,7.136
3431,01-02-2022,GASOLINA COMUM,6.522
3432,01-02-2022,GASOLINA COMUM,6.597
3433,01-02-2022,GASOLINA COMUM,6.299
3434,01-02-2022,GASOLINA COMUM,6.584
3435,01-02-2022,GASOLINA COMUM,6.991
3436,01-02-2022,GASOLINA COMUM,6.337
3437,01-02-2022,GASOLINA COMUM,6.119
3438,01-02-2022,GASOLINA COMUM,6.362
3439,01-02-2022,GASOLINA COMUM,6.776
3440,01-02-2022,GASOLINA COMUM,7.168
3441,01-02-2022,GASOLINA COMUM,6.952
3442,01-02-2022,GASOLINA COMUM,6.961
3443,01-02-2022,GASOLINA COMUM,6.068
3444,01-02-2022,GASOLINA COMUM,6.29
3445,01-02-2022,GASOLINA COMUM,7.167
3446,01-02-2022,GASOLINA COMUM,6.839
3447,01-02-2022,GASOLINA COMUM,6.149
3448,01-02-2022,GASOLINA COMUM,6.293
3449,01-02-2022,GASOLINA COMUM,6.766
3450,01-02-2022,GASOLINA COMUM,6.313
3451,01-02-2022,GASOLINA COMUM,6.982
3452,01-02-2022,GASOLINA COMUM,6.878
3453,01-02-2022,GASOLINA COMUM,6.189
3454,01-02-2022,GASOLINA COMUM,6.421
3455,01-02-2022,GASOLINA COMUM,6.28
3456,01-02-2022,GASOLINA COMUM,6.989
3457,01-02-2022,GASOLINA COMUM,6.429
3458,01-02-2022,GASOLINA COMUM,7.198
3459,01-02-2022,GASOLINA COMUM,6.555
3460,01-02-2022,GASOLINA COMUM,6.282
3461,01-02-2022,GASOLINA COMUM,6.987
3462,01-02-2022,GASOLINA COMUM,6.996
3463,01-02-2022,GASOLINA COMUM,6.436
3464,01-02-2022,GASOLINA COMUM,7.321
3465,01-02-2022,GASOLINA COMUM,6.956
