Variacoes - ABRIL - JUNHO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 BISCOITO,0.43000000000000016,-1.8499999999999999,0.8600000000000001,4.1899999999999995,-0.42000000000000015,-1.6099999999999999,1.9100000000000001,1.0,-0.71,-0.5599999999999998,0.41000000000000003,-1.3100000000000003,1.19,0.13,0.9899999999999999,0.99,0.21000000000000008
 PÃO FRANCÊS,0.41999999999999993,1.6300000000000001,-0.56,-3.33,-0.38000000000000006,-1.2,-1.14,-0.2400000000000002,1.13,-0.4800000000000001,-0.17999999999999994,1.04,0.5599999999999999,0.8999999999999999,-3.05,-0.51,-0.33
 PÃO DOCE,-1.8,0.6299999999999999,0.9100000000000004,0.0,0.10999999999999999,1.13,2.6000000000000005,0.48,3.0100000000000002,-1.6099999999999999,0.0,-2.85,-1.7300000000000002,0.0,0.0,1.39,0.14999999999999994
 PÃO DE FORMA,-4.08,-2.83,-1.55,0.0,2.5300000000000002,-5.79,0.0,0.0,0.0,-3.3,0.27,1.55,4.63,0.0,0.0,0.0,-0.75
 BOLO,-3.8,-1.74,-0.7099999999999999,-1.0999999999999999,-4.39,-1.2799999999999998,-1.5899999999999999,-2.55,-4.61,-6.32,-1.9099999999999997,0.9500000000000002,-1.5699999999999998,2.5500000000000003,-1.8500000000000003,5.14,-3.1799999999999997
 PÃO DE QUEIJO,0.0,0.0,-1.73,0.0,0.0,-6.0200000000000005,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,-1.3399999999999999
 ÓLEOS E GORDURAS,-0.16999999999999998,-2.48,0.87,-1.0,-1.46,-2.71,-1.25,-0.019999999999999962,1.9999999999999998,0.4600000000000001,-0.72,-1.71,-0.9900000000000001,-2.16,-1.4700000000000002,1.2200000000000002,-0.59
 ÓLEO DE SOJA,-1.07,-3.26,0.8600000000000001,2.83,-3.9000000000000004,-6.71,-1.04,-0.88,-0.4999999999999999,-3.1399999999999997,-0.73,-3.7800000000000002,-2.3499999999999996,-2.62,-3.06,0.6599999999999997,-1.8499999999999999
 AZEITE DE OLIVA,-0.1200000000000001,0.0,0.0,0.0,0.2899999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-2.15,0.0,0.0,0.0,0.0,0.010000000000000009
 MARGARINA,0.6699999999999999,-0.8599999999999999,0.95,-3.9200000000000004,1.92,1.75,-1.53,0.94,5.680000000000001,7.09,-0.6799999999999999,3.2299999999999995,2.1900000000000004,-0.8399999999999999,1.6300000000000001,1.9899999999999998,1.3699999999999999
 BEBIDAS E INFUSÕES,-0.5800000000000001,0.29000000000000004,0.07999999999999996,-0.24999999999999978,-0.32999999999999996,-1.7300000000000002,1.56,-1.01,-0.5199999999999999,1.57,0.050000000000000155,-0.9299999999999999,-0.15000000000000002,-1.3299999999999998,-0.4,0.1399999999999999,-0.020000000000000004
 SUCO DE FRUTAS,-1.8800000000000001,1.1300000000000001,-0.19999999999999984,-2.94,-2.3,-3.26,2.49,-4.66,-4.529999999999999,1.7700000000000002,2.05,-1.19,0.19000000000000003,-0.08999999999999986,0.86,0.7800000000000002,-1.29
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,4.81,0.0,0.0,0.0,0.0,0.0,0.0,-1.38,0.0,0.0,4.74
 CAFÉ MOÍDO,-0.95,-6.140000000000001,-2.8600000000000003,-1.5699999999999996,-1.65,-8.79,-4.15,-1.19,-1.4900000000000002,3.99,-2.55,-4.0600000000000005,-1.95,-2.59,-1.8699999999999999,-1.7,-1.83
 CAFÉ SOLÚVEL,0.0,2.1799999999999997,0.0,-0.6899999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0500000000000003,1.42
 CHÁ,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,-0.09000000000000002,0.0,0.0,0.0,1.6300000000000001
 REFRIGERANTE E ÁGUA MINERAL,-0.8799999999999999,1.04,0.84,1.0999999999999999,0.29,1.9699999999999998,1.4,-0.39,2.55,1.3800000000000001,1.2800000000000002,-0.44999999999999973,1.29,-1.2000000000000002,1.01,0.15999999999999998,0.6699999999999999
