Variacoes - JANEIRO - MARÇO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 FÍGADO,0.0,0.0,0.0,-4.690000000000001,0.0,0.0,-0.72,-2.7500000000000004,-6.390000000000001,0.0,0.0,0.0,0.0,0.0,-9.620000000000001,0.0,-4.970000000000001
 CARNE DE PORCO,-1.16,-0.2899999999999996,3.4299999999999997,0.9700000000000001,-1.9100000000000004,-0.55,0.43,0.23,6.5200000000000005,1.78,2.2,5.25,2.64,2.53,-2.5500000000000003,6.82,0.8300000000000001
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49
 CUPIM,0.0,0.0,0.0,0.15000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,1.2800000000000002,0.0,0.0,0.0,0.0,0.0,0.72
 CONTRAFILÉ,-6.02,-1.8399999999999994,-0.8899999999999999,-6.640000000000001,-4.77,-1.5699999999999998,-1.47,-1.6400000000000001,-3.2199999999999998,-1.96,-5.29,-2.79,-3.17,-2.88,-5.52,1.18,-3.77
 FILÉ-MIGNON,-8.9,0.0,0.0,0.0,0.0,0.0,-4.75,0.0,0.0,-5.08,0.0,0.0,0.0,-2.6799999999999997,0.0,0.0,-6.609999999999999
 CHÃ DE DENTRO,-1.8900000000000001,-0.20000000000000018,-1.79,-1.4500000000000002,-2.75,-3.66,0.6600000000000001,-2.08,-0.8500000000000001,-1.79,-3.6399999999999997,-7.49,-2.26,-3.21,0.3599999999999999,-0.2500000000000002,-1.88
 ALCATRA,-6.409999999999999,-2.47,-4.609999999999999,-2.27,-6.24,-6.67,-0.73,-4.09,-1.5,-7.709999999999999,-5.11,-3.15,-3.8000000000000003,-2.21,-2.3100000000000005,0.9099999999999999,-4.61
 PATINHO,-4.53,0.0,-2.7600000000000002,-0.07000000000000006,-2.83,0.0,-0.5700000000000003,-0.6199999999999999,0.0,-2.12,-3.3800000000000003,-5.7,-1.7599999999999998,-1.8900000000000001,-0.22999999999999998,0.7200000000000002,-2.4499999999999997
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.93
 LAGARTO COMUM,0.0,-4.16,0.0,0.0,-1.7000000000000002,0.0,0.0,0.0,-0.26,0.0,-4.29,0.0,-1.93,-3.2,0.0,0.0,-2.1100000000000003
 MÚSCULO,-4.0600000000000005,-3.15,-7.4799999999999995,-3.46,-2.6100000000000003,0.0,-1.8400000000000007,0.0,1.94,-0.46999999999999975,-5.11,0.0,-5.699999999999999,-3.42,-1.3100000000000005,0.06999999999999984,-2.9299999999999997
 PÁ,0.0,-3.04,-3.87,-2.8,-7.03,0.0,2.58,0.0,0.0,0.0,0.0,-4.32,-1.79,-4.6899999999999995,-0.9800000000000001,4.779999999999999,-3.75
 ACÉM,-0.9100000000000001,-1.27,-5.800000000000001,-1.8199999999999998,-4.4,-2.34,0.3799999999999999,-3.19,-1.8599999999999999,0.8200000000000003,-4.1899999999999995,-1.8900000000000001,-3.2199999999999998,-2.9,-2.59,3.33,-2.92
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5399999999999998,-6.08,1.0899999999999999,1.1900000000000002,-0.19000000000000017
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,-0.14000000000000012,0.0,-1.56,-4.5600000000000005,0.0,-1.7000000000000002,-0.030000000000000027,-3.29,0.0,0.0,-1.75
 COSTELA,-2.25,-4.45,-2.39,-5.33,-2.55,-3.1700000000000004,-1.94,-0.36,-4.859999999999999,-3.51,-5.049999999999999,-0.8200000000000001,-3.6,-5.55,-5.68,-2.3799999999999994,-3.51
 PICANHA,0.0,0.43000000000000005,-2.25,0.0,0.0,-0.06999999999999995,0.0,-1.1900000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.71
 PESCADOS,5.91,1.31,0.41,1.99,1.71,3.1099999999999994,4.0200000000000005,3.8200000000000003,0.92,6.68,1.76,-1.25,2.08,2.6,5.359999999999999,2.5300000000000002,3.0700000000000003
 PEIXE-ANCHOVA,0.0,0.0,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
 PEIXE-CORVINA,8.719999999999999,0.0,0.0,1.58,0.0,0.0,0.0,0.0,3.5300000000000002,0.0,0.0,0.0,0.0,0.0,8.129999999999999,2.7199999999999998,5.550000000000001
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,0.0,13.33
 PEIXE-SARDINHA,0.0,1.31,0.0,1.3599999999999999,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98
 CAMARÃO,0.17000000000000015,0.8500000000000001,0.0,4.01,0.0,-4.33,-0.22999999999999982,3.8,-3.46,3.9000000000000004,0.6499999999999999,-0.1900000000000001,0.0,0.0,3.21,1.81,0.8400000000000001
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6099999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6199999999999997
 PEIXE-CAÇÃO,0.0,0.0,0.0,0.0,0.7100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7100000000000001
 PEIXE-MERLUZA,0.0,0.0,-0.1100000000000001,1.6199999999999999,0.19999999999999996,0.0,0.0,0.0,-4.39,0.0,0.9600000000000002,0.0,0.0,0.0,0.0,0.0,-0.17999999999999994
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5099999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49999999999999967
 PEIXE-PESCADA,0.0,0.0,0.0,0.0,0.68,0.0,7.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.970000000000001,3.74,5.49
 CARANGUEJO,5.91,0.0,0.0,0.0,0.0,0.0,14.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.379999999999999
 PEIXE-CASTANHA,0.0,0.0,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
 PEIXE-PALOMBETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,0.0,0.0,4.16
 PEIXE-SALMÃO,5.36,0.0,0.0,0.0,3.26,1.7799999999999998,0.0,2.7399999999999998,-3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72
 PEIXE-TILÁPIA,0.0,1.5999999999999999,0.58,1.28,2.96,4.62,0.0,5.1499999999999995,0.8,7.13,5.01,0.5700000000000001,4.3,0.0,0.0,3.36,3.35
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,4.77,-0.060000000000000026,0.0,0.0,0.0,0.29000000000000004,0.0,0.039999999999999813,2.18,3.01,0.0,1.83
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-0.7800000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7800000000000007
 PEIXE-FILHOTE,0.0,0.0,0.0,0.0,0.0,4.07,8.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.450000000000001
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2699999999999996,0.0,0.0,0.0,0.0,-3.2699999999999996
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.38,0.0,0.0,0.0,-1.38
 PEIXE-ARUANÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,1.76
 CARNES E PEIXES INDUSTRIALIZADOS,-1.05,0.08999999999999997,1.0300000000000002,-0.19999999999999996,0.29999999999999993,-0.73,0.09999999999999981,1.6099999999999999,1.1700000000000002,0.8999999999999999,0.34,1.13,-2.7600000000000002,1.81,0.8399999999999999,-0.3900000000000001,0.3
 PRESUNTO,-1.3900000000000001,1.14,1.8499999999999999,0.0,-1.38,0.19000000000000006,0.0,-0.020000000000000018,-0.4800000000000001,4.02,0.10999999999999988,1.8099999999999998,-2.51,-5.41,0.0,1.5799999999999996,-0.020000000000000018
 SALSICHA,0.0,1.8899999999999997,0.0,-0.12,-0.29999999999999993,0.0,0.0,0.0,0.0,-1.13,0.0,0.0,0.0,0.38000000000000034,0.0,0.0,0.009999999999999995
 LINGUIÇA,-2.48,-0.8199999999999996,0.8400000000000001,2.69,1.72,-0.2599999999999998,4.65,2.36,1.15,1.5900000000000003,1.0099999999999998,1.2400000000000002,-3.26,3.42,1.51,3.5599999999999996,1.03
 MORTADELA,1.3999999999999997,0.0,1.2,-1.96,-4.97,0.0,0.0,2.6799999999999997,0.0,-3.93,-2.09,0.0,-0.6599999999999997,0.0,0.0,0.0,-2.5100000000000002
 SALAME,0.0,-0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29000000000000004
 BACALHAU,6.140000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7900000000000005,0.0,5.87
 CARNE-SECA E DE SOL,-4.97,0.0,0.0,-0.9400000000000002,0.0,-2.93,-2.2199999999999998,-0.09000000000000008,1.4,0.0,0.0,0.89,0.0,0.0,-1.5499999999999998,-2.73,-0.8200000000000001
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,0.6899999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.71,-0.15000000000000002,0.0,0.0,0.0,0.0,0.22999999999999998
 AVES E OVOS,-4.869999999999999,-0.7,-0.3500000000000001,-0.75,-0.73,1.0499999999999998,-2.7699999999999996,1.23,-2.99,-0.3599999999999999,-1.9300000000000002,-0.83,0.050000000000000266,1.72,-2.5599999999999996,-1.49,-1.3499999999999999
 FRANGO INTEIRO,-1.0499999999999998,0.8300000000000001,-3.6100000000000003,-4.18,-0.5900000000000003,-3.51,-4.1,-1.8400000000000003,-2.82,2.94,-4.74,-4.2,-5.99,-1.47,-3.75,-0.77,-2.49
 FRANGO EM PEDAÇOS,-9.530000000000001,-5.96,-4.23,-3.27,-4.24,-2.0,-7.829999999999999,-2.23,-6.709999999999999,-3.91,-3.7,-4.47,-5.37,-5.390000000000001,-4.27,-5.5600000000000005,-5.3
 OVO DE GALINHA,9.35,14.04,11.66,10.31,9.77,12.36,8.079999999999998,13.48,5.25,7.529999999999999,10.09,13.589999999999998,15.920000000000002,15.2,5.43,6.15,10.13
 LEITES E DERIVADOS,1.1800000000000002,9.54,4.3100000000000005,-2.6399999999999997,2.9699999999999998,-1.89,1.21,-2.63,-1.5,4.08,1.4999999999999998,-0.25,-0.5,-2.05,-2.02,-0.81,2.33
