Variacoes - JULHO - SETEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 COLCHÃO,0.0,-0.6699999999999999,-10.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.65
 UTENSÍLIOS E ENFEITES,1.2799999999999998,-1.53,-1.46,-2.72,-2.24,-1.15,-0.050000000000000044,-0.78,-1.0099999999999998,-1.07,0.35,-1.23,-1.3199999999999998,0.10999999999999999,-0.52,-3.0399999999999996,-1.26
 ARTIGOS DE ILUMINAÇÃO,-0.8700000000000001,-1.3199999999999998,-4.88,-2.98,-2.53,-0.24000000000000013,0.25,-2.39,-1.7299999999999998,-3.4899999999999998,0.0,0.0,-3.5,0.0,-2.1100000000000003,-2.59,-2.31
 TAPETE,-1.42,-0.6400000000000001,0.0,0.0,1.4800000000000002,-6.250000000000001,-0.44000000000000006,0.0,0.8500000000000001,-2.9400000000000004,-0.79,-3.85,0.3899999999999999,0.0,0.0,0.0,-0.44000000000000006
 CORTINA,2.55,-3.3,-4.699999999999999,-3.29,-6.59,0.83,0.0,-1.7400000000000002,-3.6500000000000004,1.8800000000000001,4.3100000000000005,2.42,0.0,0.0,0.0,0.0,-2.3899999999999997
 UTENSÍLIOS DE METAL,2.7800000000000002,1.7999999999999998,1.51,-4.49,-2.46,-0.9400000000000001,-1.5100000000000002,-1.5,0.63,-0.3999999999999999,0.51,-1.5599999999999998,0.11000000000000013,-1.0,1.34,-3.7199999999999998,-0.6000000000000001
 UTENSÍLIOS DE VIDRO E LOUÇA,0.0,0.0,-1.3,1.65,0.76,-2.65,1.4600000000000002,1.85,-3.0,-3.49,0.0,-1.0300000000000002,-5.53,4.76,-1.9599999999999997,-2.37,-0.71
 UTENSÍLIOS DE PLÁSTICO,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,-4.050000000000001,0.0,0.0,0.0,-1.88,-1.82,-1.3599999999999999
 FLORES NATURAIS,0.0,-5.3100000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.3100000000000005
 UTENSÍLIOS PARA BEBÊ,0.0,0.0,0.14,-0.57,0.0,0.0,0.0,1.23,0.0,0.0,1.17,-2.83,-1.84,-1.04,0.0,0.0,-0.07000000000000002
" CAMA, MESA E BANHO",0.010000000000000009,1.33,2.31,0.9300000000000002,-1.19,-4.05,-1.9300000000000002,-1.19,-0.51,-1.1799999999999997,-5.529999999999999,-5.83,-1.9200000000000004,-2.9899999999999998,-2.76,-3.18,-0.71
 ROUPA DE CAMA,0.010000000000000009,1.33,2.31,0.28000000000000025,-1.19,-4.05,-1.9300000000000002,-0.8900000000000001,-0.51,-1.1799999999999997,-5.529999999999999,-5.83,-3.3699999999999997,-2.9499999999999993,-2.76,-3.18,-0.75
 ROUPA DE BANHO,0.0,0.0,0.0,2.6599999999999997,0.0,0.0,0.0,-1.8100000000000003,0.0,0.0,0.0,0.0,1.67,-3.13,0.0,0.0,0.5499999999999999
 APARELHOS ELETROELETRÔNICOS,-1.31,-1.39,-1.3599999999999999,-0.92,-0.91,-1.13,-0.9299999999999998,-1.9099999999999997,-3.26,-1.75,-3.01,0.6799999999999999,-0.5299999999999999,-0.55,-2.04,-0.07000000000000006,-1.3800000000000001
 ELETRODOMÉSTICOS E EQUIPAMENTOS,-0.65,2.7755575615628914e-17,-0.8200000000000002,-0.44000000000000017,-0.2899999999999999,-1.83,0.6199999999999999,-1.3900000000000001,-1.76,-0.14999999999999997,-2.0500000000000003,0.88,-0.41000000000000003,0.03,-1.2000000000000002,-0.26,-0.5700000000000001
 REFRIGERADOR,0.14,-0.04999999999999994,-0.7399999999999999,-1.4499999999999997,-0.6299999999999999,-2.7600000000000002,2.33,-2.61,-2.71,-0.10999999999999982,-3.4000000000000004,1.8399999999999999,-0.2699999999999998,1.69,-0.8400000000000001,-2.32,-0.7999999999999999
 AR-CONDICIONADO,-0.050000000000000266,2.42,0.0,1.3000000000000003,4.07,1.21,1.9699999999999998,0.8999999999999999,-2.7399999999999998,4.77,0.5800000000000001,1.04,0.10000000000000009,-1.27,0.0,3.2099999999999995,1.77
 MÁQUINA DE LAVAR ROUPA,-2.15,-1.52,-1.2900000000000005,1.1899999999999997,-0.48999999999999977,-2.04,-0.94,-2.5300000000000002,-0.7999999999999998,-1.49,-3.3899999999999997,-1.4699999999999998,-1.6600000000000001,-4.5600000000000005,-2.3899999999999997,0.06999999999999984,-1.2
 VENTILADOR,0.0,0.0,0.0,0.51,0.0,0.0,-1.64,0.1499999999999999,0.0,0.0,0.0,0.0,3.25,0.79,-2.0,0.7999999999999999,-0.25
 FOGÃO,-1.08,0.6799999999999999,-1.76,-1.8099999999999998,-1.17,-1.2599999999999998,0.38000000000000034,-0.07000000000000006,0.10999999999999988,-0.6900000000000002,2.5599999999999996,2.95,-1.6,0.85,-0.1599999999999997,0.12,-0.6599999999999999
 CHUVEIRO ELÉTRICO,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33
" TV, SOM E INFORMÁTICA",-2.1,-3.83,-2.1399999999999997,-1.5,-1.71,-0.2599999999999999,-2.8,-2.5400000000000005,-5.63,-3.99,-4.640000000000001,0.40000000000000013,-0.74,-1.94,-3.2299999999999995,0.16000000000000003,-2.5199999999999996
 TELEVISOR,-2.63,-3.27,-2.63,-2.37,-2.49,-0.5199999999999999,-3.26,-3.13,-6.97,-3.7199999999999998,-6.73,-0.6600000000000001,1.0599999999999998,-0.55,-3.9299999999999997,-3.38,-3.08
 APARELHO DE SOM,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,-2.56,0.0,0.0,0.0,0.0,0.0,-3.2299999999999995,1.8000000000000003,-2.08
 VIDEOGAME (CONSOLE),0.0,0.0,0.0,-2.3800000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3800000000000003
 COMPUTADOR PESSOAL,-1.0999999999999999,-4.9399999999999995,-1.31,-0.17999999999999994,-0.41000000000000014,-0.030000000000000027,-1.9299999999999997,-1.7199999999999998,-3.9299999999999997,-4.25,-2.05,2.31,-3.93,-4.699999999999999,-0.56,5.44,-1.6099999999999999
 CONSERTOS E MANUTENÇÃO,1.0,0.10000000000000003,-0.6800000000000002,1.6400000000000001,0.5599999999999999,0.24,1.01,0.6600000000000001,-0.47,-0.72,-1.48,1.0999999999999999,-0.6900000000000001,1.62,-0.15999999999999992,0.9299999999999999,0.16999999999999998
 CONSERTOS E MANUTENÇÃO,1.0,0.10000000000000003,-0.6800000000000002,1.6400000000000001,0.5599999999999999,0.24,1.01,0.6600000000000001,-0.47,-0.72,-1.48,1.0999999999999999,-0.6900000000000001,1.62,-0.15999999999999992,0.9299999999999999,0.16999999999999998
 CONSERTO DE REFRIGERADOR,0.0,-1.8100000000000003,0.0,2.1299999999999994,0.0,0.0,-1.86,0.0,1.6799999999999997,0.0,2.33,0.0,0.0,0.0,-2.79,0.0,0.33999999999999986
 CONSERTO DE TELEVISOR,0.0,0.0,0.0,0.0,0.0,0.0,2.1399999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1399999999999997
 CONSERTO DE MÁQUINA DE LAVAR ROUPA,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94
 REFORMA DE ESTOFADO,1.35,3.04,0.75,0.04999999999999982,4.33,0.0,0.0,-4.9,2.8899999999999997,0.0,0.0,2.03,0.6300000000000001,3.69,0.0,2.01,2.09
 CONSERTO DE APARELHO CELULAR,0.0,-0.8599999999999999,-3.5900000000000003,2.2199999999999998,2.7300000000000004,0.0,3.99,2.56,-6.23,2.35,-1.1700000000000002,-1.0300000000000002,-5.73,-0.38,-1.9700000000000002,-1.62,-0.16000000000000003
 CONSERTO DE BICICLETA,0.95,-1.0499999999999998,0.52,2.1500000000000004,-0.41999999999999993,0.6500000000000004,-0.6400000000000001,1.87,1.8199999999999998,-1.45,-3.29,1.29,2.78,1.8200000000000003,3.08,2.8,-0.2099999999999999
 VESTUÁRIO,-0.5499999999999999,0.37,1.21,-0.51,1.52,-0.050000000000000044,0.21000000000000002,1.07,1.3199999999999998,-0.24000000000000005,-0.14,0.2999999999999998,0.04999999999999993,3.01,0.16000000000000003,1.1600000000000001,0.68
 ROUPAS,-0.8799999999999999,-0.18999999999999997,1.65,0.26000000000000006,1.44,0.21000000000000002,0.38,0.77,1.61,0.21,-0.13,0.15999999999999992,-0.07999999999999996,3.2800000000000002,-0.12,1.3399999999999999,0.72
 ROUPA MASCULINA,0.21999999999999997,0.88,2.26,1.57,1.31,2.52,-0.11999999999999988,-0.21999999999999997,3.4299999999999997,1.3599999999999999,-0.35,2.3,-1.04,4.17,1.42,2.52,1.2999999999999998
 CALÇA COMPRIDA MASCULINA,0.6299999999999999,-0.33999999999999997,1.7799999999999998,4.22,1.3,2.91,2.2800000000000002,-0.57,0.31,0.7400000000000001,-1.1599999999999997,0.6599999999999997,-5.35,1.9100000000000001,0.8100000000000002,3.96,1.02
 AGASALHO MASCULINO,0.0,-5.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5900000000000003,0.0,0.0,0.0,0.0,0.0,0.0,-4.51
 BERMUDA/SHORT MASCULINO,2.2,3.59,0.0,1.18,4.08,3.08,1.5799999999999998,1.65,3.07,0.8200000000000001,3.2600000000000002,3.61,3.5,4.26,2.37,2.65,2.48
