Variacoes - -OUTUBRO - DEZEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 BISCOITO,-1.1199999999999999,-1.46,-2.1,-2.45,-0.54,-2.3099999999999996,0.8399999999999997,-0.94,-2.0300000000000002,-2.37,-1.7999999999999998,-0.8200000000000001,-2.04,-0.19,0.51,1.21,-1.2799999999999998
 PÃO FRANCÊS,-1.3599999999999999,0.6,0.5,0.8,1.68,2.12,-0.42999999999999994,-0.78,0.030000000000000054,-2.3,-0.020000000000000018,1.25,-2.33,0.77,-7.07,-4.09,0.11
 PÃO DOCE,0.8499999999999999,2.6500000000000004,8.59,0.0,3.0199999999999996,0.0,0.0,0.0,5.0200000000000005,3.1099999999999994,0.0,3.4,0.040000000000000036,0.0,0.0,0.0,3.3600000000000003
 PÃO DE FORMA,-0.12,-5.77,5.0,0.0,1.38,-3.6399999999999997,0.0,0.0,0.0,-0.11999999999999988,0.0,2.92,0.0,0.0,0.0,0.0,0.009999999999999898
 BOLO,2.97,0.9400000000000002,-3.0999999999999996,-0.43000000000000005,-1.4700000000000002,3.05,4.16,-1.5199999999999998,2.3099999999999996,1.37,-0.55,1.83,-0.62,-4.680000000000001,3.1099999999999994,-0.20000000000000018,-0.17000000000000004
 PÃO DE QUEIJO,0.0,0.0,-0.38999999999999996,0.0,0.0,4.6899999999999995,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,1.77
 ÓLEOS E GORDURAS,8.2,-8.39,6.2,-0.46,5.07,10.59,6.81,-0.05999999999999994,2.6899999999999995,-1.08,5.57,10.75,5.85,6.71,-8.32,1.74,3.5700000000000003
 ÓLEO DE SOJA,10.389999999999999,-10.91,9.12,1.2699999999999998,2.4099999999999997,5.36,4.91,1.1500000000000001,2.2399999999999998,-4.739999999999999,7.620000000000001,8.85,3.2300000000000004,5.5600000000000005,-7.08,4.2,2.48
 AZEITE DE OLIVA,12.93,0.0,0.0,0.0,15.11,17.6,16.92,0.0,11.83,10.14,0.0,14.25,17.25,11.27,0.0,0.0,14.29
 MARGARINA,-0.34,-3.38,-2.4899999999999998,-2.27,-0.7499999999999998,0.0,-1.51,-1.4700000000000002,-3.3,-2.39,-1.71,0.0,-0.19999999999999973,0.0,-11.18,-0.99,-1.8900000000000001
 BEBIDAS E INFUSÕES,-0.6299999999999999,-0.79,2.0300000000000002,-0.7300000000000001,1.0,-0.72,-0.68,-0.6199999999999999,0.14,1.09,1.22,-2.21,0.59,0.8200000000000001,-1.1300000000000001,0.38,0.35000000000000003
 SUCO DE FRUTAS,1.42,3.8,3.0700000000000003,-0.76,3.33,-0.4600000000000002,0.0,-1.68,0.0,2.7300000000000004,2.81,-2.46,2.8999999999999995,0.0,0.0,0.0,2.3099999999999996
 POLPA DE FRUTA (CONGELADA),0.0,0.0,0.0,0.0,0.0,0.0,4.58,-5.13,-3.2199999999999998,0.0,0.0,0.0,0.0,6.710000000000001,-2.02,0.0,-1.51
